it,step_length,step_norm,obj,fx
151,6.681911775230489115e-52,4.177581169468961473e-54,1.742406377628546554e+00,1.742406377628546554e+00
152,3.340955887615244558e-52,2.088790584734480737e-54,1.742406377628546554e+00,1.742406377628546554e+00
153,1.670477943807622279e-52,1.044395292367240368e-54,1.742406377628546554e+00,1.742406377628546554e+00
154,8.352389719038111394e-53,5.221976461836201842e-55,1.742406377628546554e+00,1.742406377628546554e+00
155,4.176194859519055697e-53,2.610988230918100921e-55,1.742406377628546554e+00,1.742406377628546554e+00
156,2.088097429759527849e-53,1.305494115459050460e-55,1.742406377628546554e+00,1.742406377628546554e+00
157,1.044048714879763924e-53,6.527470577295252302e-56,1.742406377628546554e+00,1.742406377628546554e+00
158,5.220243574398819621e-54,3.263735288647626151e-56,1.742406377628546554e+00,1.742406377628546554e+00
159,2.610121787199409811e-54,1.631867644323813075e-56,1.742406377628546554e+00,1.742406377628546554e+00
160,1.305060893599704905e-54,8.159338221619065377e-57,1.742406377628546554e+00,1.742406377628546554e+00
161,6.525304467998524527e-55,4.079669110809532689e-57,1.742406377628546554e+00,1.742406377628546554e+00
162,3.262652233999262263e-55,2.039834555404766344e-57,1.742406377628546554e+00,1.742406377628546554e+00
163,1.631326116999631132e-55,1.019917277702383172e-57,1.742406377628546554e+00,1.742406377628546554e+00
164,8.156630584998155658e-56,5.099586388511915861e-58,1.742406377628546554e+00,1.742406377628546554e+00
165,4.078315292499077829e-56,2.549793194255957930e-58,1.742406377628546554e+00,1.742406377628546554e+00
166,2.039157646249538915e-56,1.274896597127978965e-58,1.742406377628546554e+00,1.742406377628546554e+00
167,1.019578823124769457e-56,6.374482985639894826e-59,1.742406377628546554e+00,1.742406377628546554e+00
168,5.097894115623847286e-57,3.187241492819947413e-59,1.742406377628546554e+00,1.742406377628546554e+00
169,2.548947057811923643e-57,1.593620746409973707e-59,1.742406377628546554e+00,1.742406377628546554e+00
170,1.274473528905961822e-57,7.968103732049868533e-60,1.742406377628546554e+00,1.742406377628546554e+00
171,6.372367644529809108e-58,3.984051866024934266e-60,1.742406377628546554e+00,1.742406377628546554e+00
172,3.186183822264904554e-58,1.992025933012467133e-60,1.742406377628546554e+00,1.742406377628546554e+00
173,1.593091911132452277e-58,9.960129665062335666e-61,1.742406377628546554e+00,1.742406377628546554e+00
174,7.965459555662261385e-59,4.980064832531167833e-61,1.742406377628546554e+00,1.742406377628546554e+00
175,3.982729777831130693e-59,2.490032416265583916e-61,1.742406377628546554e+00,1.742406377628546554e+00
176,1.991364888915565346e-59,1.245016208132791958e-61,1.742406377628546554e+00,1.742406377628546554e+00
177,9.956824444577826731e-60,6.225081040663959791e-62,1.742406377628546554e+00,1.742406377628546554e+00
178,4.978412222288913366e-60,3.112540520331979896e-62,1.742406377628546554e+00,1.742406377628546554e+00
179,2.489206111144456683e-60,1.556270260165989948e-62,1.742406377628546554e+00,1.742406377628546554e+00
180,1.244603055572228341e-60,7.781351300829949739e-63,1.742406377628546554e+00,1.742406377628546554e+00
181,6.223015277861141707e-61,3.890675650414974869e-63,1.742406377628546554e+00,1.742406377628546554e+00
182,3.111507638930570854e-61,1.945337825207487435e-63,1.742406377628546554e+00,1.742406377628546554e+00
183,1.555753819465285427e-61,9.726689126037437174e-64,1.742406377628546554e+00,1.742406377628546554e+00
184,7.778769097326427134e-62,4.863344563018718587e-64,1.742406377628546554e+00,1.742406377628546554e+00
185,3.889384548663213567e-62,2.431672281509359293e-64,1.742406377628546554e+00,1.742406377628546554e+00
186,1.944692274331606783e-62,1.215836140754679647e-64,1.742406377628546554e+00,1.742406377628546554e+00
187,9.723461371658033917e-63,6.079180703773398234e-65,1.742406377628546554e+00,1.742406377628546554e+00
188,4.861730685829016959e-63,3.039590351886699117e-65,1.742406377628546554e+00,1.742406377628546554e+00
189,2.430865342914508479e-63,1.519795175943349558e-65,1.742406377628546554e+00,1.742406377628546554e+00
190,1.215432671457254240e-63,7.598975879716747792e-66,1.742406377628546554e+00,1.742406377628546554e+00
191,6.077163357286271198e-64,3.799487939858373896e-66,1.742406377628546554e+00,1.742406377628546554e+00
192,3.038581678643135599e-64,1.899743969929186948e-66,1.742406377628546554e+00,1.742406377628546554e+00
193,1.519290839321567800e-64,9.498719849645934740e-67,1.742406377628546554e+00,1.742406377628546554e+00
194,7.596454196607838998e-65,4.749359924822967370e-67,1.742406377628546554e+00,1.742406377628546554e+00
195,3.798227098303919499e-65,2.374679962411483685e-67,1.742406377628546554e+00,1.742406377628546554e+00
196,1.899113549151959749e-65,1.187339981205741842e-67,1.742406377628546554e+00,1.742406377628546554e+00
197,9.495567745759798747e-66,5.936699906028709212e-68,1.742406377628546554e+00,1.742406377628546554e+00
198,4.747783872879899374e-66,2.968349953014354606e-68,1.742406377628546554e+00,1.742406377628546554e+00
199,2.373891936439949687e-66,1.484174976507177303e-68,1.742406377628546554e+00,1.742406377628546554e+00
200,1.186945968219974843e-66,7.420874882535886516e-69,1.742406377628546554e+00,1.742406377628546554e+00
201,5.934729841099874217e-67,3.710437441267943258e-69,1.742406377628546554e+00,1.742406377628546554e+00
202,2.967364920549937109e-67,1.855218720633971629e-69,1.742406377628546554e+00,1.742406377628546554e+00
203,1.483682460274968554e-67,9.276093603169858144e-70,1.742406377628546554e+00,1.742406377628546554e+00
204,7.418412301374842771e-68,4.638046801584929072e-70,1.742406377628546554e+00,1.742406377628546554e+00
