Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,3.47E-06,1.32E-15,2.04E-15,7.39E-15,8.69E-16,2.61E-08,3.33E-15
2,3.17E-06,1.15E-15,1.77E-15,6.47E-15,7.57E-16,2.41E-08,2.92E-15
2,2.88E-06,9.93E-16,1.52E-15,5.63E-15,6.55E-16,2.20E-08,2.53E-15
2,2.58E-06,8.52E-16,1.31E-15,4.86E-15,5.61E-16,1.99E-08,2.16E-15
2,2.29E-06,7.26E-16,1.12E-15,4.17E-15,4.76E-16,1.77E-08,1.83E-15
2,1.99E-06,6.15E-16,9.52E-16,3.55E-15,4.01E-16,1.55E-08,1.54E-15
2,1.70E-06,5.20E-16,8.12E-16,3.02E-15,3.36E-16,1.33E-08,1.28E-15
2,1.59E-06,4.40E-16,6.95E-16,2.57E-15,2.81E-16,1.25E-08,1.06E-15
2,1.59E-06,3.75E-16,6.01E-16,2.19E-15,2.36E-16,1.25E-08,8.73E-16
2,1.59E-06,3.25E-16,5.28E-16,1.90E-15,2.00E-16,1.25E-08,7.29E-16
2,1.59E-06,2.89E-16,4.77E-16,1.69E-15,1.75E-16,1.25E-08,6.26E-16
2,1.59E-06,2.67E-16,4.45E-16,1.57E-15,1.60E-16,1.25E-08,5.64E-16
2,1.58E-06,2.59E-16,4.33E-16,1.52E-15,1.55E-16,1.24E-08,5.42E-16
2,1.57E-06,2.65E-16,4.41E-16,1.55E-15,1.59E-16,1.24E-08,5.61E-16
2,1.56E-06,2.84E-16,4.68E-16,1.67E-15,1.73E-16,1.23E-08,6.18E-16
2,1.55E-06,3.16E-16,5.13E-16,1.86E-15,1.96E-16,1.22E-08,7.14E-16
2,1.54E-06,3.61E-16,5.76E-16,2.12E-15,2.27E-16,1.22E-08,8.46E-16
2,1.52E-06,4.18E-16,6.58E-16,2.46E-15,2.67E-16,1.21E-08,1.01E-15
2,1.67E-06,4.87E-16,7.58E-16,2.87E-15,3.15E-16,1.30E-08,1.21E-15
2,1.94E-06,5.67E-16,8.76E-16,3.35E-15,3.70E-16,1.51E-08,1.44E-15
2,2.20E-06,6.59E-16,1.01E-15,3.90E-15,4.33E-16,1.70E-08,1.70E-15
2,2.46E-06,7.61E-16,1.17E-15,4.51E-15,5.02E-16,1.89E-08,1.98E-15
2,2.71E-06,8.73E-16,1.34E-15,5.18E-15,5.76E-16,2.07E-08,2.28E-15
2,2.97E-06,9.96E-16,1.53E-15,5.90E-15,6.56E-16,2.25E-08,2.60E-15
2,3.21E-06,1.13E-15,1.74E-15,6.68E-15,7.41E-16,2.42E-08,2.94E-15
2,3.46E-06,1.27E-15,1.97E-15,7.51E-15,8.30E-16,2.59E-08,3.29E-15
2,3.70E-06,1.42E-15,2.21E-15,8.39E-15,9.22E-16,2.75E-08,3.65E-15
2,3.94E-06,1.57E-15,2.47E-15,9.31E-15,1.02E-15,2.89E-08,4.02E-15
2,4.17E-06,1.73E-15,2.76E-15,1.03E-14,1.12E-15,3.04E-08,4.39E-15
2,4.40E-06,1.90E-15,3.05E-15,1.13E-14,1.21E-15,3.17E-08,4.76E-15
2,4.63E-06,2.08E-15,3.37E-15,1.23E-14,1.31E-15,3.30E-08,5.13E-15
2,4.85E-06,2.26E-15,3.70E-15,1.33E-14,1.41E-15,3.41E-08,5.50E-15
2,5.06E-06,2.44E-15,4.05E-15,1.44E-14,1.51E-15,3.52E-08,5.85E-15
2,5.27E-06,2.63E-15,4.42E-15,1.55E-14,1.61E-15,3.63E-08,6.20E-15
2,5.48E-06,2.82E-15,4.80E-15,1.66E-14,1.71E-15,3.72E-08,6.53E-15
2,5.68E-06,3.01E-15,5.19E-15,1.77E-14,1.81E-15,3.80E-08,6.86E-15
2,5.87E-06,3.20E-15,5.59E-15,1.89E-14,1.90E-15,3.88E-08,7.16E-15
2,6.06E-06,3.40E-15,6.01E-15,2.00E-14,1.99E-15,3.95E-08,7.45E-15
2,6.24E-06,3.59E-15,6.44E-15,2.11E-14,2.08E-15,4.01E-08,7.72E-15
2,6.41E-06,3.78E-15,6.87E-15,2.23E-14,2.16E-15,4.06E-08,7.97E-15
2,6.58E-06,3.97E-15,7.31E-15,2.34E-14,2.24E-15,4.10E-08,8.20E-15
2,6.74E-06,4.16E-15,7.76E-15,2.45E-14,2.32E-15,4.14E-08,8.41E-15
2,6.89E-06,4.34E-15,8.21E-15,2.56E-14,2.39E-15,4.16E-08,8.60E-15
2,7.04E-06,4.51E-15,8.66E-15,2.67E-14,2.45E-15,4.18E-08,8.76E-15
2,7.18E-06,4.68E-15,9.11E-15,2.78E-14,2.51E-15,4.20E-08,8.91E-15
2,7.31E-06,4.85E-15,9.56E-15,2.89E-14,2.57E-15,4.20E-08,9.03E-15
2,7.43E-06,5.00E-15,1.00E-14,2.99E-14,2.62E-15,4.20E-08,9.13E-15
2,7.54E-06,5.15E-15,1.04E-14,3.09E-14,2.66E-15,4.19E-08,9.21E-15
2,7.65E-06,5.29E-15,1.09E-14,3.19E-14,2.69E-15,4.18E-08,9.27E-15
2,7.75E-06,5.42E-15,1.13E-14,3.28E-14,2.72E-15,4.16E-08,9.30E-15
2,7.84E-06,5.54E-15,1.17E-14,3.37E-14,2.75E-15,4.13E-08,9.32E-15
2,7.92E-06,5.64E-15,1.21E-14,3.46E-14,2.77E-15,4.10E-08,9.32E-15
2,7.99E-06,5.74E-15,1.24E-14,3.54E-14,2.78E-15,4.06E-08,9.29E-15
2,8.05E-06,5.82E-15,1.28E-14,3.62E-14,2.78E-15,4.02E-08,9.25E-15
2,8.10E-06,5.90E-15,1.31E-14,3.69E-14,2.78E-15,3.98E-08,9.20E-15
2,8.15E-06,5.95E-15,1.34E-14,3.75E-14,2.77E-15,3.93E-08,9.12E-15
2,8.18E-06,6.00E-15,1.36E-14,3.81E-14,2.76E-15,3.87E-08,9.04E-15
2,8.20E-06,6.03E-15,1.39E-14,3.87E-14,2.74E-15,3.81E-08,8.93E-15
2,8.22E-06,6.05E-15,1.41E-14,3.92E-14,2.72E-15,3.75E-08,8.81E-15
2,8.22E-06,6.05E-15,1.43E-14,3.96E-14,2.69E-15,3.69E-08,8.68E-15
2,8.22E-06,6.04E-15,1.44E-14,3.99E-14,2.65E-15,3.62E-08,8.54E-15
2,8.20E-06,6.02E-15,1.45E-14,4.02E-14,2.61E-15,3.55E-08,8.39E-15
2,8.18E-06,5.98E-15,1.46E-14,4.04E-14,2.57E-15,3.48E-08,8.22E-15
2,8.15E-06,5.93E-15,1.46E-14,4.05E-14,2.52E-15,3.41E-08,8.05E-15
2,8.11E-06,5.87E-15,1.46E-14,4.05E-14,2.46E-15,3.34E-08,7.86E-15
2,8.06E-06,5.80E-15,1.46E-14,4.05E-14,2.41E-15,3.26E-08,7.67E-15
2,8.00E-06,5.71E-15,1.45E-14,4.04E-14,2.35E-15,3.18E-08,7.47E-15
2,7.93E-06,5.61E-15,1.44E-14,4.02E-14,2.28E-15,3.11E-08,7.27E-15
2,7.86E-06,5.50E-15,1.43E-14,3.99E-14,2.22E-15,3.03E-08,7.06E-15
2,7.77E-06,5.38E-15,1.41E-14,3.95E-14,2.15E-15,2.95E-08,6.84E-15
2,7.68E-06,5.25E-15,1.39E-14,3.90E-14,2.08E-15,2.87E-08,6.62E-15
2,7.58E-06,5.11E-15,1.37E-14,3.85E-14,2.00E-15,2.79E-08,6.39E-15
2,7.47E-06,4.96E-15,1.34E-14,3.79E-14,1.93E-15,2.76E-08,6.16E-15
2,7.35E-06,4.81E-15,1.31E-14,3.72E-14,1.85E-15,2.75E-08,5.93E-15
2,7.23E-06,4.64E-15,1.28E-14,3.64E-14,1.78E-15,2.72E-08,5.70E-15
2,7.10E-06,4.48E-15,1.24E-14,3.56E-14,1.70E-15,2.70E-08,5.47E-15
2,6.96E-06,4.30E-15,1.20E-14,3.47E-14,1.62E-15,2.67E-08,5.23E-15
2,6.82E-06,4.13E-15,1.16E-14,3.37E-14,1.54E-15,2.63E-08,5.00E-15
2,6.67E-06,3.95E-15,1.12E-14,3.27E-14,1.47E-15,2.60E-08,4.77E-15
2,6.51E-06,3.76E-15,1.08E-14,3.16E-14,1.39E-15,2.55E-08,4.53E-15
2,6.35E-06,3.58E-15,1.03E-14,3.04E-14,1.32E-15,2.51E-08,4.30E-15
2,6.18E-06,3.40E-15,9.88E-15,2.93E-14,1.24E-15,2.46E-08,4.08E-15
2,6.02E-06,3.21E-15,9.41E-15,2.80E-14,1.17E-15,2.41E-08,3.85E-15
2,5.85E-06,3.03E-15,8.94E-15,2.68E-14,1.10E-15,2.35E-08,3.64E-15
2,5.67E-06,2.85E-15,8.46E-15,2.55E-14,1.03E-15,2.29E-08,3.42E-15
2,5.49E-06,2.67E-15,7.98E-15,2.42E-14,9.60E-16,2.23E-08,3.21E-15
2,5.31E-06,2.49E-15,7.50E-15,2.29E-14,8.94E-16,2.17E-08,3.01E-15
2,5.13E-06,2.32E-15,7.03E-15,2.16E-14,8.31E-16,2.10E-08,2.81E-15
2,4.94E-06,2.15E-15,6.56E-15,2.03E-14,7.70E-16,2.04E-08,2.61E-15
2,4.75E-06,1.99E-15,6.10E-15,1.89E-14,7.12E-16,1.97E-08,2.43E-15
2,4.57E-06,1.83E-15,5.65E-15,1.77E-14,6.56E-16,1.89E-08,2.25E-15
2,4.37E-06,1.68E-15,5.21E-15,1.64E-14,6.02E-16,1.82E-08,2.08E-15
2,4.18E-06,1.54E-15,4.79E-15,1.51E-14,5.52E-16,1.75E-08,1.91E-15
2,3.99E-06,1.40E-15,4.38E-15,1.39E-14,5.03E-16,1.67E-08,1.76E-15
2,3.80E-06,1.27E-15,3.98E-15,1.27E-14,4.58E-16,1.60E-08,1.61E-15
2,3.61E-06,1.15E-15,3.61E-15,1.16E-14,4.16E-16,1.52E-08,1.46E-15
2,3.42E-06,1.03E-15,3.25E-15,1.05E-14,3.76E-16,1.45E-08,1.33E-15
2,3.23E-06,9.20E-16,2.92E-15,9.49E-15,3.38E-16,1.37E-08,1.21E-15
2,3.05E-06,8.18E-16,2.60E-15,8.51E-15,3.03E-16,1.29E-08,1.09E-15
2,2.86E-06,7.23E-16,2.31E-15,7.58E-15,2.71E-16,1.22E-08,9.77E-16
2,2.68E-06,6.36E-16,2.03E-15,6.71E-15,2.41E-16,1.14E-08,8.75E-16
2,2.51E-06,5.56E-16,1.78E-15,5.90E-15,2.14E-16,1.07E-08,7.80E-16
2,2.33E-06,4.83E-16,1.55E-15,5.16E-15,1.89E-16,9.97E-09,6.92E-16
2,2.17E-06,4.16E-16,1.33E-15,4.47E-15,1.66E-16,9.26E-09,6.12E-16
2,2.00E-06,3.56E-16,1.14E-15,3.84E-15,1.45E-16,8.57E-09,5.38E-16
2,1.85E-06,3.03E-16,9.67E-16,3.27E-15,1.26E-16,7.89E-09,4.71E-16
2,1.69E-06,2.55E-16,8.13E-16,2.76E-15,1.09E-16,7.36E-09,4.10E-16
2,1.55E-06,2.13E-16,6.76E-16,2.30E-15,9.40E-17,6.96E-09,3.55E-16
2,1.40E-06,1.76E-16,5.56E-16,1.90E-15,8.04E-17,6.58E-09,3.05E-16
2,1.27E-06,1.43E-16,4.52E-16,1.55E-15,6.83E-17,6.19E-09,2.61E-16
2,1.14E-06,1.16E-16,3.62E-16,1.25E-15,5.77E-17,5.81E-09,2.21E-16
2,1.02E-06,9.23E-17,2.86E-16,9.89E-16,4.83E-17,5.44E-09,1.87E-16
2,9.03E-07,7.25E-17,2.22E-16,7.71E-16,4.02E-17,5.07E-09,1.56E-16
2,7.93E-07,5.61E-17,1.69E-16,5.89E-16,3.31E-17,4.71E-09,1.29E-16
2,6.89E-07,4.26E-17,1.26E-16,4.40E-16,2.70E-17,4.35E-09,1.06E-16
2,5.92E-07,3.17E-17,9.17E-17,3.21E-16,2.17E-17,3.99E-09,8.59E-17
2,5.04E-07,2.31E-17,6.48E-17,2.28E-16,1.73E-17,3.63E-09,6.87E-17
2,4.24E-07,1.64E-17,4.42E-17,1.56E-16,1.35E-17,3.28E-09,5.41E-17
2,3.51E-07,1.13E-17,2.90E-17,1.02E-16,1.04E-17,2.93E-09,4.17E-17
2,2.86E-07,7.54E-18,1.81E-17,6.41E-17,7.78E-18,2.59E-09,3.14E-17
2,2.26E-07,4.82E-18,1.06E-17,3.77E-17,5.66E-18,2.24E-09,2.30E-17
2,1.76E-07,2.94E-18,5.72E-18,2.05E-17,3.95E-18,1.90E-09,1.61E-17
2,1.32E-07,1.68E-18,2.78E-18,1.01E-17,2.60E-18,1.56E-09,1.06E-17
2,9.46E-08,8.84E-19,1.17E-18,4.28E-18,1.56E-18,1.23E-09,6.43E-18
2,6.38E-08,4.07E-19,3.99E-19,1.49E-18,8.15E-19,8.93E-10,3.35E-18
2,3.75E-08,1.44E-19,9.74E-20,3.77E-19,3.18E-19,5.62E-10,1.31E-18
2,1.49E-08,2.30E-20,1.11E-20,4.45E-20,5.40E-20,2.32E-10,2.23E-19
2,6.12E-09,3.91E-21,1.80E-21,7.11E-21,9.18E-21,9.56E-11,3.78E-20
2,2.76E-08,7.82E-20,4.52E-20,1.78E-19,1.78E-19,4.21E-10,7.36E-19
2,5.16E-08,2.69E-19,2.27E-19,8.58E-19,5.63E-19,7.45E-10,2.32E-18
2,7.96E-08,6.27E-19,7.39E-19,2.72E-18,1.17E-18,1.07E-09,4.82E-18
2,1.13E-07,1.23E-18,1.87E-18,6.77E-18,2.02E-18,1.39E-09,8.28E-18
2,1.52E-07,2.19E-18,4.00E-18,1.44E-17,3.13E-18,1.70E-09,1.28E-17
2,1.97E-07,3.64E-18,7.60E-18,2.71E-17,4.53E-18,2.02E-09,1.84E-17
2,2.48E-07,5.71E-18,1.32E-17,4.67E-17,6.25E-18,2.34E-09,2.53E-17
2,3.06E-07,8.60E-18,2.14E-17,7.54E-17,8.32E-18,2.65E-09,3.35E-17
2,3.70E-07,1.25E-17,3.29E-17,1.15E-16,1.08E-17,2.96E-09,4.32E-17
2,4.40E-07,1.75E-17,4.82E-17,1.69E-16,1.37E-17,3.27E-09,5.45E-17
2,5.15E-07,2.40E-17,6.83E-17,2.38E-16,1.71E-17,3.58E-09,6.77E-17
2,5.96E-07,3.20E-17,9.37E-17,3.25E-16,2.11E-17,3.89E-09,8.28E-17
2,6.84E-07,4.19E-17,1.25E-16,4.33E-16,2.56E-17,4.19E-09,1.00E-16
2,7.77E-07,5.39E-17,1.64E-16,5.64E-16,3.08E-17,4.50E-09,1.19E-16
