Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,4.05E-06,4.14E-08,5.17E-08,9.72E-08,3.34E-08,3.01E-08,6.51E-08
2,3.76E-06,3.88E-08,4.84E-08,9.15E-08,3.14E-08,2.81E-08,6.14E-08
2,3.47E-06,3.64E-08,4.52E-08,8.60E-08,2.95E-08,2.61E-08,5.77E-08
2,3.17E-06,3.39E-08,4.20E-08,8.04E-08,2.75E-08,2.41E-08,5.40E-08
2,2.88E-06,3.15E-08,3.90E-08,7.50E-08,2.56E-08,2.20E-08,5.03E-08
2,2.58E-06,2.92E-08,3.61E-08,6.97E-08,2.37E-08,1.99E-08,4.65E-08
2,2.29E-06,2.69E-08,3.34E-08,6.45E-08,2.18E-08,1.77E-08,4.28E-08
2,1.99E-06,2.48E-08,3.09E-08,5.96E-08,2.00E-08,1.55E-08,3.92E-08
2,1.70E-06,2.28E-08,2.85E-08,5.49E-08,1.83E-08,1.33E-08,3.57E-08
2,1.59E-06,2.10E-08,2.64E-08,5.07E-08,1.68E-08,1.25E-08,3.25E-08
2,1.59E-06,1.94E-08,2.45E-08,4.68E-08,1.53E-08,1.25E-08,2.95E-08
2,1.59E-06,1.80E-08,2.30E-08,4.36E-08,1.42E-08,1.25E-08,2.70E-08
2,1.59E-06,1.70E-08,2.18E-08,4.12E-08,1.32E-08,1.25E-08,2.50E-08
2,1.59E-06,1.63E-08,2.11E-08,3.96E-08,1.26E-08,1.25E-08,2.37E-08
2,1.58E-06,1.61E-08,2.08E-08,3.90E-08,1.24E-08,1.24E-08,2.33E-08
2,1.57E-06,1.63E-08,2.10E-08,3.94E-08,1.26E-08,1.24E-08,2.37E-08
2,1.56E-06,1.68E-08,2.16E-08,4.08E-08,1.31E-08,1.23E-08,2.49E-08
2,1.55E-06,1.78E-08,2.26E-08,4.31E-08,1.40E-08,1.22E-08,2.67E-08
2,1.54E-06,1.90E-08,2.40E-08,4.61E-08,1.51E-08,1.22E-08,2.91E-08
2,1.52E-06,2.04E-08,2.57E-08,4.96E-08,1.63E-08,1.21E-08,3.18E-08
2,1.67E-06,2.21E-08,2.75E-08,5.36E-08,1.77E-08,1.30E-08,3.48E-08
2,1.94E-06,2.38E-08,2.96E-08,5.79E-08,1.92E-08,1.51E-08,3.79E-08
2,2.20E-06,2.57E-08,3.18E-08,6.24E-08,2.08E-08,1.70E-08,4.12E-08
2,2.46E-06,2.76E-08,3.42E-08,6.71E-08,2.24E-08,1.89E-08,4.45E-08
2,2.71E-06,2.96E-08,3.66E-08,7.19E-08,2.40E-08,2.07E-08,4.78E-08
2,2.97E-06,3.16E-08,3.91E-08,7.68E-08,2.56E-08,2.25E-08,5.10E-08
2,3.21E-06,3.36E-08,4.17E-08,8.17E-08,2.72E-08,2.42E-08,5.42E-08
2,3.46E-06,3.56E-08,4.43E-08,8.67E-08,2.88E-08,2.59E-08,5.74E-08
2,3.70E-06,3.76E-08,4.70E-08,9.16E-08,3.04E-08,2.75E-08,6.04E-08
